,vehicle_id,time,latitude,longitude
1520,23,7,259.37,495.55
1521,24,7,425.5,451.83
1522,25,7,280.55,911.37
1523,26,7,410.7,710.75
1524,27,7,261.47,539.43
1525,23,8,258.89,484.06
1526,24,8,424.93,441.38
1527,25,8,281.02,923.1
1528,26,8,422.13,710.36
1529,27,8,261.09,531.8
1530,23,9,258.42,472.99
1531,24,9,424.36,431.1
1532,25,9,281.49,934.93
1533,26,9,429.04,709.91
1534,27,9,260.81,526.18
1535,23,10,257.91,460.9
1536,24,10,423.77,420.48
1537,25,10,281.91,946.03
1538,26,10,435.17,706.98
1539,27,10,260.96,518.33
1540,23,11,257.22,449.46
1541,24,11,423.2,410.15
1542,25,11,282.37,958.12
1543,26,11,436.78,700.17
1544,27,11,263.89,509.96
1545,23,12,256.34,437.27
1546,24,12,422.61,399.81
1547,25,12,282.8,969.72
1548,26,12,436.42,691
1549,27,12,272.55,505.99
1550,23,13,255.52,426
1551,24,13,421.96,389.14
1552,25,13,283.24,981.31
1553,26,13,436.01,680.42
1554,27,13,281.76,505.37
1555,23,14,254.82,416.36
1556,24,14,421.27,378.35
1557,25,14,283.67,992.74
1558,26,14,435.57,668.96
1559,27,14,293.16,504.99
1560,23,15,254.45,411.21
1561,24,15,420.54,366.99
1562,25,15,284.1,1004.23
1563,26,15,434.99,656.96
1564,27,15,305.06,504.6
1565,23,16,253.96,403.77
1566,24,16,419.8,355.6
1567,25,16,284.56,1016.34
1568,26,16,434.31,645.36
1569,27,16,317.67,504.18
1570,23,17,253.34,394
1571,24,17,419.08,344.47
1572,25,17,284.98,1027.62
1573,26,17,433.57,632.95
1574,27,17,329.9,503.77
1575,23,18,252.65,381.83
1576,24,18,418.35,333.23
1577,25,18,285.43,1039.51
1578,26,18,432.87,621.03
1579,27,18,341.91,503.38
1580,23,19,252.03,370.67
1581,24,19,417.67,322.75
1582,25,19,285.84,1050.64
1583,26,19,432.43,609.45
1584,27,19,354.59,502.96
1585,23,20,251.4,359.52
1586,24,20,416.94,311.51
1587,25,20,286.29,1062.44
1588,26,20,432.01,597.05
1589,27,20,366.87,502.55
1590,28,20,583.58,603.55
1591,23,21,250.77,348.28
1592,24,21,416.25,300.76
1593,25,21,286.72,1073.99
1594,26,21,431.75,584.74
1595,27,21,379.98,502.12
1596,28,21,581.29,603.64
1597,23,22,250.09,336.08
1598,24,22,416.64,290.61
1599,25,22,287.14,1085.11
1600,26,22,431.5,572.3
1601,27,22,393.09,501.68
1602,28,22,576.56,603.82
1603,23,23,249.44,324.5
1604,24,23,421.79,280.91
1605,25,23,287.55,1096.1
1606,26,23,431.27,560.39
1607,27,23,405.03,501.29
1608,28,23,569.92,604.08
1609,23,24,248.75,312.17
1610,24,24,427.29,271.79
1611,26,24,430.74,548.36
1612,27,24,417.68,500.87
1613,28,24,560.9,604.42
1614,23,25,248.08,300.24
1615,24,25,432.57,263.01
1616,26,25,430.08,536.9
1617,27,25,430.33,500.44
1618,28,25,549.65,604.85
1619,23,26,247.53,288.9
1620,24,26,437.42,254.97
1621,26,26,429.38,524.91
1622,27,26,443.17,499.96
1623,28,26,536.5,605.35
1624,23,27,247,277.54
1625,24,27,440.18,250.39
1626,26,27,428.87,516.3
1627,27,27,456.22,499.69
1628,28,27,521.08,605.94
1629,23,28,246.46,266.09
1630,24,28,443.69,245.34
1631,26,28,428.58,511.3
1632,27,28,469.34,499.42
1633,28,28,505.55,606.53
1634,23,29,245.9,254.09
1635,24,29,448.54,242.95
1636,26,29,428.2,504.5
1637,27,29,481.53,499.17
1638,28,29,490.57,607.1
1639,23,30,245.37,242.98
1640,24,30,454.36,244.52
1641,26,30,427.72,495.63
1642,27,30,494.16,498.92
1643,28,30,475.23,607.68
1644,23,31,244.83,231.35
1645,24,31,461.44,248.51
1646,26,31,427.19,485.09
1647,27,31,506.24,498.67
1648,28,31,461.57,608.2
1649,23,32,244.27,219.53
1650,24,32,470.68,253.72
1651,26,32,426.55,472.59
1652,27,32,518.94,498.41
1653,28,32,451.72,608.58
1654,23,33,243.7,207.41
1655,24,33,481.44,259.79
1656,26,33,425.97,461
1657,27,33,531.6,498.15
1658,28,33,446.36,608.78
1659,24,34,493.98,266.86
1660,26,34,425.37,449.4
1661,27,34,544.2,497.9
1662,28,34,439.48,610.56
1663,24,35,508.42,275.01
1664,26,35,424.68,436.91
1665,27,35,556.58,497.64
1666,28,35,436.07,617.59
1667,24,36,524.33,283.99
1668,26,36,424.04,425.23
1669,27,36,568.52,497.4
1670,28,36,436.35,625.81
1671,29,36,604.52,620.1
1672,24,37,540.17,292.92
1673,26,37,423.34,412.71
1674,27,37,579.39,497.18
1675,28,37,436.92,635.34
1676,29,37,604.69,622.62
1677,24,38,555.19,301.4
1678,26,38,422.85,403.93
1679,27,38,586.78,497.03
1680,28,38,437.6,646.86
1681,29,38,604.98,627.09
1682,24,39,571.17,310.41
1683,26,39,423.02,399.54
1684,27,39,592.17,496.62
1685,28,39,438.35,659.93
1686,29,39,605.38,633.21
1687,24,40,587.12,319.4
1688,26,40,426.38,394.56
1689,27,40,595.41,492.34
1690,28,40,439.01,675.36
1691,29,40,605.88,640.85
1692,24,41,602.63,328.16
1693,26,41,433.19,393.25
1694,27,41,595.33,487.14
